speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
juandelsur	Español de Argentina	L1	0.75	0.0	1.0	to_L1
juandelsur	Español de Argentina	L1	0.67	0.0	1.0	to_L2
murciana	Spanish - Spain	L2	0.7066666666666667	0.016666666666666684	3.0	to_L1
murciana	Spanish - Spain	L2	0.6411111111111112	0.028840771894260906	9.0	to_L2
nelliot53	Spanish-[PR]; English-[US]	L1	0.73	0.030000000000000023	2.0	to_L1
nelliot53	Spanish-[PR]; English-[US]	L1	0.6566666666666666	0.06489307444643928	3.0	to_L2
Bloodsun	Castellano - Argentina	L2	0.7121428571428572	0.013513467902676645	14.0	to_L1
Bloodsun	Castellano - Argentina	L2	0.7076923076923076	0.011499935682866192	13.0	to_L2
Gorgiewave	Scotland, English	L1	0.63	0.0	1.0	to_L1
Gorgiewave	Scotland, English	L1	0.6950000000000001	0.044999999999999984	2.0	to_L2
ILT	México - Español/Castellano	L2	0.6333333333333333	0.048074017006186506	3.0	to_L1
ILT	México - Español/Castellano	L2	0.65	0.0	1.0	to_L2
pejeman	Español	L2	0.7033333333333333	0.028480012484391762	3.0	to_L1
pejeman	Español	L2	0.7342857142857143	0.011722412976277305	7.0	to_L2
Alundra	España - Castellano	L1	0.76	0.0	1.0	to_L1
Alundra	España - Castellano	L1	0.6866666666666666	0.02728450923957482	3.0	to_L2
aleCcowaN	Castellano - Argentina	L1	0.7268181818181817	0.010137290544462134	22.0	to_L1
aleCcowaN	Castellano - Argentina	L1	0.7048148148148151	0.010995600912262956	27.0	to_L2
relativamente	catalan and spanish	L1	0.73	0.0	1.0	to_L1
relativamente	catalan and spanish	L1	0.73	0.0	1.0	to_L2
Servando	Español, Mexico	L1	0.72	0.04999999999999999	2.0	to_L1
Servando	Español, Mexico	L1	0.63	0.0	1.0	to_L2
Mangato	SPAIN (Galicia)	L2	0.8075	0.019311050377094106	4.0	to_L1
Mangato	SPAIN (Galicia)	L2	0.72	0.0	1.0	to_L2
Rasp	Castellano de España	L1	0.6433333333333334	0.018559214542766756	3.0	to_L1
Rasp	Castellano de España	L1	0.7006666666666668	0.009178996037365317	15.0	to_L2
sinho4	Galego - Spain	L2	0.69	0.0	1.0	to_L1
sinho4	Galego - Spain	L2	0.6799999999999999	0.009999999999999953	2.0	to_L2
Alfonso Chíncaro	Español (Perú)	L1	0.6733333333333333	0.014529663145135558	3.0	to_L1
Alfonso Chíncaro	Español (Perú)	L1	0.71	0.04	3.0	to_L2
Csalrais	Spanish - Spain	L1	0.7	0.010000000000000009	2.0	to_L1
Csalrais	Spanish - Spain	L1	0.72	0.0	1.0	to_L2
Lord Darktower	Español	L1	0.7566666666666667	0.012018504251546642	3.0	to_L1
Lord Darktower	Español	L1	0.6980000000000001	0.015972198067614584	10.0	to_L2
Mate	Castellano - Argentina	L2	0.7266666666666666	0.018559214542766756	3.0	to_L1
Mate	Castellano - Argentina	L2	0.7275	0.01652018966799916	4.0	to_L2
pepone	ARGENTINA	L1	0.78	0.0	1.0	to_L1
